SOLD DATE,DAYS ON MARKET,ADDRESS,CITY,STYLE,MLS,ASKING PRICE,SOLD PRICE
4/29/19,61 Days,230 W 17th Avenue,North Wildwood,Condo,186384,"$185,900 ","$183,900 "
4/26/19,262 Days,426 W Poplar Avenue,Wildwood,Single Family,183404,"$199,900 ","$183,000 "
4/26/19,220 Days,219 E Juniper Avenue,Wildwood,Single Family,184083,"$259,900 ","$245,000 "
4/26/19,137 Days,232 W Juniper Avenue,Wildwood,Single Family,185262,"$159,777 ","$150,000 "
4/26/19,59 Days,220 Q Street,West Wildwood,Single Family,186395,"$175,000 ","$170,500 "
4/26/19,51 Days,111 E Cresse Avenue,Wildwood,Single Family,186518,"$279,900 ","$305,000 "
4/26/19,582 Days,152 E Davis Avenue,Wildwood,Four-Plex,178395,"$299,000 ","$290,000 "
4/26/19,120 Days,608 Ocean Avenue,North Wildwood,Condo,185392,"$244,900 ","$230,000 "
4/26/19,45 Days,145 W Andrews Avenue,Wildwood,Condo,186675,"$309,000 ","$299,000 "
SOLD DATE,DAYS ON MARKET,ADDRESS,CITY,STYLE,MLS,ASKING PRICE,SOLD PRICE
4/25/19,359 Days,1011 Delaware Avenue,North Wildwood,Single Family,181756,"$379,971 ","$365,000 "
4/25/19,132 Days,410 E 24th Avenue,North Wildwood,Condo,185310,"$334,900 ","$310,565 "
4/24/19,230 Days,237 E Hildreth Avenue,Wildwood,Condo,183807,"$335,000 ","$327,500 "
4/24/19,56 Days,405 Ocean Avenue,North Wildwood,Condo,186436,"$179,900 ","$175,000 "
4/22/19,103 Days,242 W Wildwood Avenue,Wildwood,Condo,185569,"$224,900 ","$210,000 "
4/22/19,91 Days,310 E Hildreth Avenue,Wildwood,Townhouse,185830,"$399,900 ","$382,500 "
4/19/19,39 Days,324 W Wildwood Avenue,Wildwood,Single Family,186637,"$107,500 ","$104,475 "
4/19/19,345 Days,600 Kennedy Drive,North Wildwood,Condo,181844,"$199,900 ","$190,000 "
4/19/19,153 Days,510 E 11th Avenue,North Wildwood,Condo,185028,"$450,000 ","$443,000 "
4/19/19,123 Days,810 Ohio Avenue,North Wildwood,Condo,185332,"$279,500 ","$274,000 "
4/19/19,65 Days,413 W Hildreth Avenue,Wildwood,Condo,186140,"$179,900 ","$176,000 "
4/19/19,49 Days,311 W 16th Avenue,North Wildwood,Condo,186445,"$129,000 ","$121,900 "
4/19/19,46 Days,227 W Wildwood Avenue,Wildwood,Condo,186491,"$239,900 ","$232,500 "
4/19/19,31 Days,509-525 E 4th Avenue,North Wildwood,Condo,186749,"$139,900 ","$131,500 "
4/18/19,246 Days,238 W Poplar Avenue,Wildwood,Single Family,183554,"$155,000 ","$125,000 "
4/18/19,145 Days,501 Ocean Avenue,North Wildwood,Condo,185089,"$195,000 ","$180,000 "
4/18/19,75 Days,330 E 18th Avenue,North Wildwood,Condo,185955,"$383,777 ","$372,500 "
4/18/19,57 Days,145 Seaview Court Unit 5A,North Wildwood,Condo,186277,"$198,000 ","$202,000 "
4/17/19,83 Days,414 E 22 Avenue,North Wildwood,Condo,185800,"$499,999 ","$495,000 "
4/15/19,209 Days,608 Ocean Avenue,North Wildwood,Condo,184042,"$244,900 ","$230,000 "
4/15/19,200 Days,236B Allen Drive,North Wildwood,Condo,184176,"$124,900 ","$119,500 "
4/15/19,71 Days,309 Surf Avenue,North Wildwood,Condo,185982,"$265,000 ","$260,000 "
4/15/19,66 Days,1800 Ocean Avenue,North Wildwood,Condo,186049,"$184,999 ","$183,000 "
4/15/19,61 Days,426 W Pine Avenue,North Wildwood,Townhouse,186142,"$729,900 ","$725,000 "
4/12/19,62 Days,110 W 2nd Avenue,North Wildwood,Single Family,186077,"$259,900 ","$250,000 "
4/12/19,201 Days,307 E Montgomery Unit H,Wildwood,Condo,184151,"$329,900 ","$300,000 "
4/12/19,185 Days,1407 Ocean Avenue,North Wildwood,Condo,184423,"$389,900 ","$380,000 "
4/12/19,116 Days,130B Allen Dr,North Wildwood,Condo,185336,"$110,000 ","$100,000 "
4/12/19,66 Days,1301 Surf Avenue,North Wildwood,Condo,185992,"$149,500 ","$125,000 "
4/12/19,57 Days,200 E Marina Court,North Wildwood,Condo,186175,"$189,000 ","$179,000 "
4/12/19,52 Days,2510 Atlantic Avenue,North Wildwood,Condo,186284,"$64,900 ","$65,000 "
4/12/19,50 Days,227 W Wildwood Avenue,Wildwood,Condo,186290,"$229,900 ","$225,000 "
4/11/19,214 Days,2001 Surf Avenue,North Wildwood,Motel,183914,"$1,500,000 ","$1,125,000 "
4/11/19,59 Days,620 W Pine Avenue,North Wildwood,Townhouse,186145,"$199,900 ","$199,000 "
4/9/19,56 Days,252B Allen Drive,North Wildwood,Condo,186146,"$114,900 ","$105,000 "
4/8/19,168 Days,225 E Wildwood Avenue,Wildwood,Condo,184707,"$69,000 ","$64,000 "
4/8/19,75 Days,5300 Lake Road,Wildwood,Condo,185795,"$649,900 ","$592,500 "
4/5/19,267 Days,3709 Park Boulevard,Wildwood,Single Family,182979,"$94,900 ","$95,000 "
4/5/19,32 Days,108 W 7th Avenue,North Wildwood,Vacant Lot,186513,"$200,000 ","$220,000 "
4/5/19,231 Days,539 W Maple Avenue,West Wildwood,Motel,183506,"$299,900 ","$200,000 "
4/5/19,347 Days,1200 Kennedy Drive,North Wildwood,Condo,181566,"$190,000 ","$180,000 "
4/5/19,211 Days,511 W 19th Avenue,North Wildwood,Townhouse,183845,"$849,900 ","$800,000 "
4/5/19,202 Days,2301 Atlantic Avenue,North Wildwood,Condo,184046,"$84,900 ","$80,000 "
4/5/19,164 Days,4700 Ocean Ave,Wildwood,Condo,184648,"$219,900 ","$201,000 "
4/5/19,136 Days,315 E Maple Ave TOP Floor Corner Unit #203,Wildwood,Condo,185066,"$318,000 ","$315,000 "
4/5/19,106 Days,417 E 20th Street,North Wildwood,Condo,185349,"$143,500 ","$137,000 "
4/5/19,36 Days,239 E Leaming Avenue,Wildwood,Condo,186423,"$297,500 ","$305,000 "
4/4/19,72 Days,345 E 21st Avenue,North Wildwood,Single Family,185753,"$599,000 ","$589,000 "
4/4/19,120 Days,118 W Glenwood Avenue,Wildwood,Triplex,185223,"$133,500 ","$135,000 "
4/4/19,71 Days,505 E 4 Avenue,North Wildwood,Condo,185783,"$79,900 ","$77,500 "
SOLD DATE,DAYS ON MARKET,ADDRESS,CITY,STYLE,MLS,ASKING PRICE,SOLD PRICE
4/4/19,59 Days,1000 Kennedy Drive,North Wildwood,Condo,186027,"$164,900 ","$159,500 "
4/2/19,599 Days,2502 Surf Avenue,North Wildwood,Condo,177666,"$389,900 ","$380,000 "
4/1/19,325 Days,401 E Wildwood Avenue,Wildwood,Restaurant,181995,"$349,000 ","$290,000 "
4/1/19,243 Days,5 Bay Ave,West Wildwood,Condo,183238,"$436,300 ","$447,000 "
4/1/19,156 Days,"504 E 17th, unit 205 Avenue",North Wildwood,Condo,184725,"$169,999 ","$165,000 "
4/1/19,77 Days,1500 Ocean Avenue,North Wildwood,Condo,185642,"$379,000 ","$355,000 "
4/1/19,50 Days,437 W 16th Street,North Wildwood,Condo,186086,"$369,000 ","$365,000 "
3/30/19,25 Days,5001 New Jersey Avenue,Wildwood,Condo,186516,"$99,000 ","$99,000 "
3/29/19,196 Days,112 E 8th Avenue,North Wildwood,Single Family,183992,"$395,000 ","$365,000 "
3/29/19,150 Days,113 W 16,North Wildwood,Single Family,184788,"$449,000 ","$444,000 "
3/29/19,67 Days,2100 Central Avenue,North Wildwood,Single Family,185745,"$719,000 ","$690,000 "
3/29/19,24 Days,759 W Glenwood Avenue,West Wildwood,Single Family,186514,"$194,900 ","$195,000 "
3/29/19,394 Days,221 W Oak Avenue,Wildwood,Commercial/Industrial,180670,"$109,900 ","$95,500 "
3/29/19,113 Days,129 W Youngs Avenue,Wildwood,Duplex,185218,"$210,000 ","$195,000 "
3/29/19,70 Days,1403 Delaware Avenue,North Wildwood,Duplex,185710,"$219,900 ","$210,000 "
3/29/19,49 Days,2701 Pacific Ave,Wildwood,Duplex,186053,"$359,900 ","$352,000 "
3/29/19,37 Days,320 W Garfield Ave.,Wildwood,Duplex,186339,"$129,900 ","$85,000 "
3/29/19,598 Days,2407 Surf Avenue,North Wildwood,Townhouse,177668,"$449,900 ","$435,000 "
3/29/19,498 Days,453 E 24th Avenue,North Wildwood,Townhouse,179240,"$629,999 ","$610,000 "
3/29/19,162 Days,403 E 23rd Avenue,North Wildwood,Condo,184567,"$424,900 ","$412,500 "
3/29/19,162 Days,442 E 21st Avenue,North Wildwood,Condo,184581,"$187,777 ","$183,600 "
3/29/19,149 Days,310 E Magnolia Avenue,Wildwood,Condo,184784,"$329,000 ","$320,000 "
3/29/19,121 Days,229 E Cresse Avenue,Wildwood,Condo,185182,"$319,000 ","$300,000 "
3/29/19,104 Days,5212 Atlantic Avenue,Wildwood,Condo,185314,"$324,900 ","$312,500 "
3/29/19,109 Days,4604 Park Boulevard,Wildwood,Condo,185353,"$124,900 ","$100,000 "
3/29/19,80 Days,420 E 2nd Avenue,North Wildwood,Condo,185544,"$625,000 ","$614,000 "
3/29/19,77 Days,319 E 25th Avenue,North Wildwood,Condo,185604,"$379,000 ","$375,000 "
3/29/19,56 Days,103 E Poplar Avenue,Wildwood,Condo,185922,"$234,900 ","$228,000 "
3/28/19,162 Days,423 W Roberts Ave,Wildwood,Single Family,184548,"$169,000 ","$160,000 "
3/28/19,43 Days,648 W Maple Avenue,West Wildwood,Single Family,186143,"$55,000 ","$55,000 "
3/28/19,828 Days,243 E Rio Grande Avenue,Wildwood,Commercial/Industrial,173793,"$899,000 ","$825,000 "
3/28/19,123 Days,206 W 15 Street,North Wildwood,Duplex,185094,"$189,900 ","$182,000 "
3/28/19,148 Days,304 W Burk Ave,Wildwood,Condo,184775,"$229,900 ","$227,000 "
3/28/19,148 Days,302 E Magnolia Avenue,Wildwood,Condo,184781,"$324,000 ","$320,000 "
3/28/19,133 Days,3010 Ocean Avenue,Wildwood,Condo,185013,"$164,900 ","$159,000 "
3/28/19,69 Days,235 E 2nd Avenue,North Wildwood,Condo,185691,"$245,000 ","$230,000 "
3/28/19,68 Days,1611 Central Avenue,North Wildwood,Townhouse,185742,"$399,900 ","$405,000 "
3/27/19,70 Days,600 North Avenue,West Wildwood,Condo,185678,"$259,900 ","$245,000 "
3/22/19,185 Days,202 W Chestnut Avenue,North Wildwood,Single Family,184129,"$650,000 ","$625,000 "
3/22/19,49 Days,3510 Hudson Avenue,Wildwood,Vacant Lot,186154,"$75,000 ","$60,000 "
3/22/19,196 Days,217 E Spencer Avenue,Wildwood,Condo,183912,"$285,000 ","$274,000 "
3/22/19,193 Days,411 E 4th Avenue,North Wildwood,Condo,183938,"$379,000 ","$367,500 "
3/22/19,136 Days,2207 Surf Avenue,North Wildwood,Condo,184867,"$184,900 ","$175,000 "
3/22/19,57 Days,417 E 19th Avenue,North Wildwood,Condo,185788,"$168,000 ","$163,000 "
3/22/19,56 Days,"147 E Andrews Avenue, #303 Avenue",Wildwood,Townhouse,185820,"$334,900 ","$315,000 "
3/21/19,230 Days,613 W Glenwood Avenue,West Wildwood,Single Family,183292,"$229,000 ","$222,000 "
3/20/19,224 Days,1610 Boardwalk,North Wildwood,Commercial/Industrial,183392,"$1,995,000 ","$1,637,500 "
3/20/19,320 Days,5301 Ocean Avenue,Wildwood,Condo,181760,"$329,000 ","$312,500 "
3/18/19,55 Days,210 E Davis Avenue,Wildwood,Townhouse,185796,"$375,777 ","$365,000 "
3/18/19,55 Days,900 Kennedy Avenue,North Wildwood,Condo,185829,"$239,900 ","$222,000 "
3/16/19,54 Days,5001 New Jersey Avenue,Wildwood,Condo,185752,"$94,900 ","$98,900 "
3/15/19,34 Days,111 E 10th,North Wildwood,Single Family,186403,"$319,000 ","$320,000 "
3/15/19,29 Days,233 E Garfield,Wildwood,Other,186201,"$229,000 ","$225,000 "
3/15/19,745 Days,508 W Spruce Avenue,North Wildwood,Duplex,174914,"$588,800 ","$545,000 "
3/15/19,267 Days,500 E 13th Ave,North Wildwood,Condo,182579,"$148,999 ","$138,000 "
3/15/19,171 Days,518 W Andrews Avenue,Wildwood,Townhouse,184179,"$299,900 ","$270,000 "
3/14/19,98 Days,4103 Hudson Avenue,Wildwood,Townhouse,185250,"$199,500 ","$195,000 "
3/12/19,127 Days,331 E Magnolia Avenue,Wildwood,Four-Plex,184866,"$219,900 ","$185,000 "
3/11/19,277 Days,1200 Kennedy Drive,North Wildwood,Condo,182350,"$219,000 ","$200,000 "
3/11/19,156 Days,247 E Burk Avenue,Wildwood,Condo,184374,"$319,500 ","$312,000 "
3/8/19,310 Days,313 W Juniper,Wildwood,Single Family,179922,"$194,900 ","$185,000 "
3/8/19,51 Days,4710 Hudson Avenue,Wildwood,Single Family,185680,"$149,900 ","$150,000 "
3/8/19,274 Days,225 E Rio Grande Avenue,Wildwood,Condo,182391,"$239,777 ","$230,000 "
3/8/19,81 Days,500 Kennedy Drive,North Wildwood,Condo,185329,"$279,900 ","$265,875 "
3/8/19,60 Days,411 W Cedar Avenue,Wildwood,Condo,185547,"$237,900 ","$238,000 "
3/7/19,176 Days,320 E Juniper Avenue,Wildwood,Condo,183958,"$329,000 ","$310,000 "
3/6/19,189 Days,3110 Atlantic Avenue,Wildwood,Condo,183704,"$79,900 ","$65,000 "
3/4/19,181 Days,104 W 10th Avenue,North Wildwood,Townhouse,183781,"$424,900 ","$417,900 "
3/4/19,184 Days,106 W 10th Avenue,North Wildwood,Townhouse,183782,"$424,900 ","$429,950 "
3/4/19,124 Days,225 E Wildwood Avenue,Wildwood,Condo,184799,"$75,777 ","$76,000 "
3/1/19,58 Days,205 W Taylor Avenue,Wildwood,Duplex,185472,"$164,900 ","$160,000 "
3/1/19,333 Days,1900 Boardwalk,North Wildwood,Condo,181198,"$162,500 ","$159,000 "
3/1/19,178 Days,102 W 10th Avenue,North Wildwood,Townhouse,183778,"$424,900 ","$425,000 "
3/1/19,168 Days,500 Kennedy Drive,North Wildwood,Condo,184047,"$139,900 ","$130,000 "
3/1/19,147 Days,120 E Montgomery Avenue,Wildwood,Condo,184358,"$275,000 ","$272,000 "
3/1/19,129 Days,225 E Wildwood Avenue,Wildwood,Condo,184673,"$79,000 ","$72,000 "
3/1/19,52 Days,51 Anglesea Drive,North Wildwood,Condo,185559,"$299,000 ","$300,000 "
3/1/19,51 Days,212 E 24TH Avenue,North Wildwood,Condo,185564,"$259,900 ","$252,950 "
3/1/19,35 Days,217 E Maple Avenue,Wildwood,Condo,185848,"$240,777 ","$241,000 "
2/28/19,247 Days,418 W Maple Avenue,Wildwood,Single Family,182655,"$189,999 ","$174,000 "
2/28/19,153 Days,2702 Park Boulevard,Wildwood,Single Family,184221,"$200,000 ","$160,000 "
2/28/19,107 Days,411 W Burk,Wildwood,Single Family,184983,"$184,000 ","$185,400 "
2/28/19,29 Days,401 W Pine Avenue,North Wildwood,Single Family,185886,"$399,500 ","$385,750 "
2/28/19,21 Days,4704 Park Boulevard,Wildwood,Single Family,186159,"$199,900 ","$175,000 "
2/28/19,950 Days,121 E 18 Avenue,North Wildwood,Triplex,171457,"$257,900 ","$250,000 "
2/28/19,135 Days,5009 Pacific Avenue,Wildwood,Other,184550,"$184,900 ","$205,555 "
2/28/19,380 Days,124 E Leaming Avenue,Wildwood,Townhouse,180359,"$294,500 ","$285,000 "
2/28/19,191 Days,416 E 22nd Street,North Wildwood,Condo,183578,"$410,000 ","$395,000 "
2/28/19,177 Days,323 E Wildwood Avenue,Wildwood,Townhouse,183777,"$425,000 ","$395,000 "
2/28/19,137 Days,342 E 6th Avenue,North Wildwood,Townhouse,184507,"$599,777 ","$589,000 "
2/28/19,104 Days,406 W Hand Avenue,Wildwood,Condo,185026,"$252,900 ","$247,700 "
2/28/19,51 Days,180 W Oak Avenue,Wildwood,Townhouse,185546,"$300,000 ","$294,000 "
2/28/19,50 Days,442 E 21st Avenue,North Wildwood,Condo,185571,"$114,900 ","$107,500 "
2/28/19,49 Days,423 W Magnolia Avenue,Wildwood,Townhouse,185587,"$295,000 ","$282,500 "
2/28/19,49 Days,3810 Hudson Avenue,Wildwood,Townhouse,185588,"$299,000 ","$287,500 "
2/28/19,48 Days,439 W Pine Avenue,Wildwood,Condo,185614,"$439,000 ","$405,000 "
2/28/19,41 Days,1000 Kennedy Drive,North Wildwood,Condo,185713,"$159,900 ","$150,000 "
2/28/19,21 Days,3201 Atlantic Avenue,Wildwood,Condo,186032,"$92,900 ","$94,475 "
2/27/19,179 Days,108 W 10th Avenue,North Wildwood,Townhouse,183893,"$424,900 ","$405,000 "
2/25/19,42 Days,224 E Leaming Avenue,Wildwood,Single Family,185636,"$200,000 ","$200,000 "
SOLD DATE,DAYS ON MARKET,ADDRESS,CITY,STYLE,MLS,ASKING PRICE,SOLD PRICE
2/25/19,342 Days,4301 Niagra Avenue,Wildwood,Vacant Lot,180966,"$155,000 ","$155,000 "
2/25/19,53 Days,114 E Maple Avenue,Wildwood,Condo,185479,"$249,900 ","$255,000 "
2/25/19,36 Days,306 E Pine Avenue,Wildwood,Condo,185731,"$349,900 ","$337,450 "
2/22/19,331 Days,632 W Glenwood Avenue,West Wildwood,Single Family,181107,"$75,000 ","$43,452 "
2/22/19,237 Days,323 E 12th Avenue,North Wildwood,Single Family,182718,"$524,900 ","$475,000 "
2/22/19,33 Days,429 W Garfield Avenue,Wildwood,Single Family,185739,"$75,000 ","$60,000 "
2/22/19,39 Days,318 Youngs Avenue,Wildwood,Other,185709,"$389,900 ","$345,000 "
2/22/19,154 Days,304 E 17th Street,North Wildwood,Condo,184120,"$389,000 ","$385,000 "
2/22/19,123 Days,173 W Schellenger Avenue,Wildwood,Townhouse,184651,"$315,000 ","$315,000 "
2/22/19,71 Days,135 E Spencer Avenue,Wildwood,Condo,185664,"$259,900 ","$250,000 "
2/22/19,22 Days,237 E Baker Avenue,Wildwood,Townhouse,185941,"$278,500 ","$269,000 "
2/21/19,391 Days,201 W 24th Street,North Wildwood,Townhouse,180046,"$494,900 ","$470,000 "
2/20/19,203 Days,614 W Maple Avenue,West Wildwood,Single Family,183278,"$289,000 ","$267,000 "
